scientific_name	ncbi_taxon_id	genome_identifier	annotation_download_url	source	paper_reference
Pseudomonas spp				1-s2.0-S0048969724085061-main	1-s2.0-S0048969724085061-main
Pseudomonas parafulva YAB1				1-s2.0-S0048969724085061-main	1-s2.0-S0048969724085061-main
Pseudomonas plecoglossicida 2				1-s2.0-S0048969724085061-main	1-s2.0-S0048969724085061-main
Pseudomonas strains PS27				1-s2.0-S0048969724085061-main	1-s2.0-S0048969724085061-main
Pseudomonas aeruginosa HJ4				1-s2.0-S0048969724085061-main	1-s2.0-S0048969724085061-main
"Pseudomonas plecoglossicida 
2"				1-s2.0-S0048969724085061-main	1-s2.0-S0048969724085061-main
Pseudomonas sp				1-s2.0-S0048969724085061-main	1-s2.0-S0048969724085061-main
Acidimicrobium sp				1-s2.0-S0048969724085061-main	1-s2.0-S0048969724085061-main
Rhodococcus jostii RHA1				1-s2.0-S0048969724085061-main	1-s2.0-S0048969724085061-main
Gordonia sp. NB4-1Y				1-s2.0-S0048969724085061-main	1-s2.0-S0048969724085061-main
Pseudomonas parafulva strain				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Pseudomonas were identified				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Pseudomonas aeruginosa strain				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Pseudomonas plecoglossicida strain				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Pseudomonas YAB				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Pseudomonas YAB1 mutant				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
"Pseudomonas plecoglossicida 
strain"				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
"Pseudomonas 
and Dechloromonas"				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Pseudomonas mosselii with				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Pseudomonas species				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Pseudomonas aeruginosa				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
"Pseudomonas 
putida 
27"				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Pseudomonas mosselii				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
"Pseudomonas 
strain grew"				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Pseudomonas strain				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Pseudomonas parafulva YAB				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Pseudomonas mosselii 5				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Pseudomonas strains				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Synechicystis sp. PCC				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Acidimicrobiaceae sp. A6				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Synechocystis sp. PCC				1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Pseudomonas SP				10.1080/00275514.2025.2499476	Defluorination of per- and polyfluoroalkyl carboxylic acids  PFCAs  by wood decomposer fungi
Pseudomonas aeruginosa after				1-s2.0-S0045653514001635-main	1-s2.0-S0045653514001635-main
"Pseudomonas aeruginosa
a"				1-s2.0-S0045653514001635-main	1-s2.0-S0045653514001635-main
"Pseudomonas
ﬂuorescens"				1-s2.0-S0045653514001635-main	1-s2.0-S0045653514001635-main
Pseudomonas resources would				doi_10_1007-s11756-024-01654-0	doi_10_1007-s11756-024-01654-0
Pseudomonas fluorescens				doi_10_1007-s11756-024-01654-0	doi_10_1007-s11756-024-01654-0
"Acidimicrobium
sp"				doi_10_1007-s11756-024-01654-0	doi_10_1007-s11756-024-01654-0
Pseudomonas sp. O				doi_10_1007-s11756-024-01654-0	doi_10_1007-s11756-024-01654-0
Acidimicrobium sp. A6				doi_10_1007-s11756-024-01654-0	doi_10_1007-s11756-024-01654-0
"Pseudomonas aeruginosa
without"				10.1039/d4va00359d	d4va00359d
"Pseudomonas
aeruginosa
isolates"				10.1039/d4va00359d	d4va00359d
"Pseudomonas aeruginosa
strains"				10.1039/d4va00359d	d4va00359d
Acidimicrobium sp A6				10.1039/d4va00359d	d4va00359d
Acidimicrobium sp. S				10.1039/d4va00359d	d4va00359d
"Pseudomonas 
growing on"				sciadv.ado2957	sciadv.ado2957
Dehalococcoides mccartyi 195				sciadv.ado2957	sciadv.ado2957
Gordonia sp. NB4-				sciadv.ado2957	sciadv.ado2957
Dehalococcoides ethenogenes strain				10.1073/pnas.​	che-et-al-2024-synergistic-material-microbe-interface-toward-deeper-anaerobic-defluorination
Dehalococcoides isolates in				10.1073/pnas.​	che-et-al-2024-synergistic-material-microbe-interface-toward-deeper-anaerobic-defluorination
Pseudomonas species OCY4				biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas
Pseudomonas butanovora				biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas
Pseudomonas oleovorans				biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas
Pseudomonas oleovorans and				biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas
"Pseudomonas
butanovora"				biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas
Pseudomonas Strains				biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas
"Pseudomonas
plecoglossicida 2"				biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas
Acidimicrobium strain A6				biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas
Rhodococcus and Labrys				biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas
Rhodococcus Species				biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas
Dehalococcoides mccartyi				biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas
Acidimicrobiaceae sp. S				biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas
Gordonia sp. S				biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas
Pseudomonas sp. S				biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas
"Pseudomonas Strains
by"				doi_10_3390-su151814000	doi_10_3390-su151814000
Pseudomonas genus				doi_10_3390-su151814000	doi_10_3390-su151814000
Pseudomonas aeruginosa and				doi_10_3390-su151814000	doi_10_3390-su151814000
Pseudomonas putida				doi_10_3390-su151814000	doi_10_3390-su151814000
Pseudomonas aeruginosa was				doi_10_3390-su151814000	doi_10_3390-su151814000
"Pseudomonas
putida managed"				doi_10_3390-su151814000	doi_10_3390-su151814000
Pseudomonas plecoglossicida was				doi_10_3390-su151814000	doi_10_3390-su151814000
Pseudomonas bacterial strains				doi_10_3390-su151814000	doi_10_3390-su151814000
Pseudomonas bacteria strains				doi_10_3390-su151814000	doi_10_3390-su151814000
Pseudomonas aeruginosa WDCM				doi_10_3390-su151814000	doi_10_3390-su151814000
Pseudomonas Strain Culture				doi_10_3390-su151814000	doi_10_3390-su151814000
"Pseudomonas
aeruginosa"				doi_10_3390-su151814000	doi_10_3390-su151814000
"Pseudomonas Strains
During"				doi_10_3390-su151814000	doi_10_3390-su151814000
"Pseudomonas strains
consisted"				doi_10_3390-su151814000	doi_10_3390-su151814000
"Pseudomonas
chains was"				doi_10_3390-su151814000	doi_10_3390-su151814000
Pseudomonas strains and				doi_10_3390-su151814000	doi_10_3390-su151814000
"Pseudomonas
Parafulva strain"				doi_10_3390-su151814000	doi_10_3390-su151814000
"Pseudomonas
aeruginosa
strain"				doi_10_3390-su151814000	doi_10_3390-su151814000
"Pseudomonas
plecoglossicida
2"				doi_10_3390-su151814000	doi_10_3390-su151814000
"Pseudomonas
sp"				doi_10_3390-su151814000	doi_10_3390-su151814000
"Acidimicrobium
sp. S"				doi_10_3390-su151814000	doi_10_3390-su151814000
Pseudomonas fulva				2025.09.19.677392v1.full	2025.09.19.677392v1.full
"Pseudomonas 
31"				2025.09.19.677392v1.full	2025.09.19.677392v1.full
Pseudomonas pergaminensis				2025.09.19.677392v1.full	2025.09.19.677392v1.full
Pseudomonas species achieving				2025.09.19.677392v1.full	2025.09.19.677392v1.full
"Pseudomonas 
330 
pergaminensis"				2025.09.19.677392v1.full	2025.09.19.677392v1.full
"Pseudomonas 
332 
isolates"				2025.09.19.677392v1.full	2025.09.19.677392v1.full
Pseudomonas pergaminensis again				2025.09.19.677392v1.full	2025.09.19.677392v1.full
"Pseudomonas strains 
335"				2025.09.19.677392v1.full	2025.09.19.677392v1.full
Pseudomonas species consistently				2025.09.19.677392v1.full	2025.09.19.677392v1.full
Pseudomonas pergaminensis and				2025.09.19.677392v1.full	2025.09.19.677392v1.full
Pseudomonas pergaminensis demonstrated				2025.09.19.677392v1.full	2025.09.19.677392v1.full
Pseudomonas fulva with				2025.09.19.677392v1.full	2025.09.19.677392v1.full
Pseudomonas pergaminensis exhibited				2025.09.19.677392v1.full	2025.09.19.677392v1.full
"Pseudomonas pergaminensis 
469"				2025.09.19.677392v1.full	2025.09.19.677392v1.full
"Pseudomonas 
504 
pergaminensis"				2025.09.19.677392v1.full	2025.09.19.677392v1.full
"Pseudomonas pergaminensis 
639"				2025.09.19.677392v1.full	2025.09.19.677392v1.full
"Pseudomonas 
663 
pergaminensis"				2025.09.19.677392v1.full	2025.09.19.677392v1.full
Pseudomonas pergaminensis achieved				2025.09.19.677392v1.full	2025.09.19.677392v1.full
"Pseudomonas putida 
722"				2025.09.19.677392v1.full	2025.09.19.677392v1.full
Pseudomonas fluorescens D2				2025.09.19.677392v1.full	2025.09.19.677392v1.full
"Pseudomonas 
735 
pergaminensis"				2025.09.19.677392v1.full	2025.09.19.677392v1.full
"Acidimicrobium 
723 
sp"				2025.09.19.677392v1.full	2025.09.19.677392v1.full
Acidimicrobium Sp				2025.09.19.677392v1.full	2025.09.19.677392v1.full
Rhodococcus sp				2025.09.19.677392v1.full	2025.09.19.677392v1.full
Acinetobacter sp. BD6				2025.09.19.677392v1.full	2025.09.19.677392v1.full
Pseudomonas aerugi				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
Pseudomonas putida converted				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
Pseudomonas aer				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
"Pseudomonas 
species"				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
Pseudomonas mosselii strain				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
Pseudomonas putida and				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
"Pseudomonas 
degraders also"				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
"Pseudomonas 
mosselii strain"				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
"Pseudomonas 
plecoglossicida 
DD4"				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
"Pseudomonas 
parafulva strain"				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
"Pseudomonas 
putida
0"				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
"Pseudomonas 
aeruginosa
0"				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
Rhodococcus ssp				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
Stenotrophomonas acidaminiphila OA1				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
"Stenotrophomonas acidaminiphila
A"				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
"Stenotrophomonas acidaminiphila 
OA1"				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
