process_id	process_name	process_type	strain_used	organism_used	growth_conditions	ree_concentration	contact_time	pH	temperature	competing_ions	process_parameters	optimization_history	Download URL	source
Custom_biosorption_from_doi_10_1007-s11756-024-01654-0	Biosorption process from doi_10_1007-s11756-024-01654-0	biosorption		"Emerging
technologies for"							"{""source"": ""Extracted from doi_10_1007-s11756-024-01654-0""}"			doi_10_1007-s11756-024-01654-0|10.1007/s11756-024-01654-0
Custom_bioaccumulation_from_doi_10_1007-s11756-024-01654-0	Bioaccumulation process from doi_10_1007-s11756-024-01654-0	bioaccumulation		Explore all metrics							"{""source"": ""Extracted from doi_10_1007-s11756-024-01654-0""}"			doi_10_1007-s11756-024-01654-0|10.1007/s11756-024-01654-0|10.1134/S0003683817050027
Custom_bioaccumulation_from_PMID_36581124	Bioaccumulation process from PMID_36581124	bioaccumulation		The global elimination							"{""source"": ""Extracted from PMID_36581124""}"			10.1016/j.chemosphere.2022.137653.|10.3390/toxics11121001|PMID:36581124
Custom_bioaccumulation_from_doi_10_3390-su151814000	Bioaccumulation process from doi_10_3390-su151814000	bioaccumulation		The negative effects							"{""source"": ""Extracted from doi_10_3390-su151814000""}"			doi_10_3390-su151814000|10.3390/su151814000
Custom_bioaccumulation_from_doi_10_3390-toxics11121001	Bioaccumulation process from doi_10_3390-toxics11121001	bioaccumulation		Perfluorocarboxylic acids							"{""source"": ""Extracted from doi_10_3390-toxics11121001""}"			doi_10_3390-toxics11121001|10.1007/s11756-024-01654-0|10.3390/toxics11121001
Custom_biosorption_from_PMID_35217058	Biosorption process from PMID_35217058	biosorption		Typical water and							"{""source"": ""Extracted from PMID_35217058""}"			10.1016/j.scitotenv.2022.153669.|PMID:35217058
Custom_biosorption_from_doi_10_1371-journal_pone_0303904	Biosorption process from doi_10_1371-journal_pone_0303904	biosorption		Hyphomicrobium species							"{""source"": ""Extracted from doi_10_1371-journal_pone_0303904""}"			doi_10_1371-journal_pone_0303904|10.1371/journal.pone.0303904
Custom_biosorption_from_Per-_and_polyfluoroalkyl_substances_PFAS_as_enviro	Biosorption process from Per-_and_polyfluoroalkyl_substances_PFAS_as_enviro	biosorption		It has been							"{""source"": ""Extracted from Per-_and_polyfluoroalkyl_substances_PFAS_as_enviro""}"			10.1039/D4VA00359D
Custom_bioaccumulation_from_Per-_and_polyfluoroalkyl_substances_PFAS_as_enviro	Bioaccumulation process from Per-_and_polyfluoroalkyl_substances_PFAS_as_enviro	bioaccumulation		Although some microbial							"{""source"": ""Extracted from Per-_and_polyfluoroalkyl_substances_PFAS_as_enviro""}"			10.1039/D4VA00359D
Custom_bioaccumulation_from_PMID_34780734	Bioaccumulation process from PMID_34780734	bioaccumulation		This article reviewed							"{""source"": ""Extracted from PMID_34780734""}"			10.1016/j.chemosphere.2021.132892.|10.1021/acs.est.5c06771|10.1371/journal.pone.0303904|10.1007/s11756-024-01654-0|10.1134/S0003683817050027|10.3390/toxics11121001|10.1101/2025.09.19.677392|PMID:34780734
Custom_bioaccumulation_from_Unique_adaptations_of_a_photosynthetic_microbe_Rho	Bioaccumulation process from Unique_adaptations_of_a_photosynthetic_microbe_Rho	bioaccumulation		In this study							"{""source"": ""Extracted from Unique_adaptations_of_a_photosynthetic_microbe_Rho""}"			10.1039/D5VA00106D|10.3390/su151814000|10.3390/toxics11121001
Custom_biosorption_from_1-s2.0-S0048969724085061-main	Biosorption process from 1-s2.0-S0048969724085061-main	biosorption		Kwon et al							"{""source"": ""Extracted from 1-s2.0-S0048969724085061-main""}"			1-s2.0-S0048969724085061-main
Custom_bioaccumulation_from_1-s2.0-S0048969724085061-main	Bioaccumulation process from 1-s2.0-S0048969724085061-main	bioaccumulation		Microbial strain							"{""source"": ""Extracted from 1-s2.0-S0048969724085061-main""}"			1-s2.0-S0048969724085061-main
Custom_biosorption_from_1-s2.0-S095816692400106X-main	Biosorption process from 1-s2.0-S095816692400106X-main	biosorption		The most prominent							"{""source"": ""Extracted from 1-s2.0-S095816692400106X-main""}"			1-s2.0-S095816692400106X-main|10.1371/journal.pone.0303904|10.3390/su151814000|10.3390/toxics11121001
Custom_bioaccumulation_from_1-s2.0-S095816692400106X-main	Bioaccumulation process from 1-s2.0-S095816692400106X-main	bioaccumulation		"Galvez 
et al"							"{""source"": ""Extracted from 1-s2.0-S095816692400106X-main""}"			1-s2.0-S095816692400106X-main
Custom_bioaccumulation_from_Defluorination of per- and polyfluoroalkyl carboxylic acids  PFCAs  by wood decomposer fungi	Bioaccumulation process from Defluorination of per- and polyfluoroalkyl carboxylic acids  PFCAs  by wood decomposer fungi	bioaccumulation		Uptake of ultrashort							"{""source"": ""Extracted from Defluorination of per- and polyfluoroalkyl carboxylic acids  PFCAs  by wood decomposer fungi""}"			10.1080/00275514.2025.2499476
Custom_bioaccumulation_from_1-s2.0-S0045653514001635-main	Bioaccumulation process from 1-s2.0-S0045653514001635-main	bioaccumulation		Article history							"{""source"": ""Extracted from 1-s2.0-S0045653514001635-main""}"			1-s2.0-S0045653514001635-main
Custom_biosorption_from_d4va00359d	Biosorption process from d4va00359d	biosorption		It has been							"{""source"": ""Extracted from d4va00359d""}"			10.1039/d4va00359d
Custom_bioaccumulation_from_d4va00359d	Bioaccumulation process from d4va00359d	bioaccumulation		Although some microbial							"{""source"": ""Extracted from d4va00359d""}"			10.1039/d4va00359d
Custom_biosorption_from_sciadv.ado2957	Biosorption process from sciadv.ado2957	biosorption		"Samples 
were taken"					121.0		"{""source"": ""Extracted from sciadv.ado2957""}"			sciadv.ado2957
Custom_biosorption_from_che-et-al-2024-synergistic-material-microbe-interface-toward-deeper-anaerobic-defluorination	Biosorption process from che-et-al-2024-synergistic-material-microbe-interface-toward-deeper-anaerobic-defluorination	biosorption		The similar compositions							"{""source"": ""Extracted from che-et-al-2024-synergistic-material-microbe-interface-toward-deeper-anaerobic-defluorination""}"			10.1073/pnas.​|PMID:32120220
Custom_biosorption_from_biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	Biosorption process from biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	biosorption		While promising							"{""source"": ""Extracted from biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas""}"			biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas
Custom_bioaccumulation_from_biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	Bioaccumulation process from biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	bioaccumulation		Organisation for							"{""source"": ""Extracted from biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas""}"			biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas
Custom_biosorption_from_2025.09.19.677392v1.full	Biosorption process from 2025.09.19.677392v1.full	biosorption		"International license
available"							"{""source"": ""Extracted from 2025.09.19.677392v1.full""}"			2025.09.19.677392v1.full|10.1101/2025.09.19.677392
Custom_bioaccumulation_from_2025.09.19.677392v1.full	Bioaccumulation process from 2025.09.19.677392v1.full	bioaccumulation		Microbial bioremediation has							"{""source"": ""Extracted from 2025.09.19.677392v1.full""}"			2025.09.19.677392v1.full
Custom_biosorption_from_1-s2.0-S3051059725000028-main	Biosorption process from 1-s2.0-S3051059725000028-main	biosorption		Corresponding author							"{""source"": ""Extracted from 1-s2.0-S3051059725000028-main""}"			1-s2.0-S3051059725000028-main|10.1007/s11756-024-01654-0|10.1134/S0003683817050027|10.3390/toxics11121001
Custom_bioaccumulation_from_1-s2.0-S3051059725000028-main	Bioaccumulation process from 1-s2.0-S3051059725000028-main	bioaccumulation		"On 
the ability"							"{""source"": ""Extracted from 1-s2.0-S3051059725000028-main""}"			1-s2.0-S3051059725000028-main
Custom_biosorption_from_journal.pone.0303904	Biosorption process from journal.pone.0303904	biosorption		Hyphomicrobium species							"{""source"": ""Extracted from journal.pone.0303904""}"			journal.pone.0303904|10.1371/journal.pone.0303904
Custom_biosorption_from_1-s2.0-S0304389423025013-main	Biosorption process from 1-s2.0-S0304389423025013-main	biosorption		Biological removal efficiency							"{""source"": ""Extracted from 1-s2.0-S0304389423025013-main""}"			1-s2.0-S0304389423025013-main|10.3390/su151814000
Custom_bioaccumulation_from_1-s2.0-S0304389423025013-main	Bioaccumulation process from 1-s2.0-S0304389423025013-main	bioaccumulation		"The frequent 
detections"							"{""source"": ""Extracted from 1-s2.0-S0304389423025013-main""}"			1-s2.0-S0304389423025013-main
Custom_biosorption_from_1-s2.0-S0048969724031437-main	Biosorption process from 1-s2.0-S0048969724031437-main	biosorption		Perfluorooctane sulfonate							"{""source"": ""Extracted from 1-s2.0-S0048969724031437-main""}"			1-s2.0-S0048969724031437-main|10.1371/journal.pone.0303904|10.1007/s11756-024-01654-0|10.3390/su151814000|10.3390/toxics11121001|PMID:35217058|PMID:32120220
Custom_bioaccumulation_from_1-s2.0-S0048969724031437-main	Bioaccumulation process from 1-s2.0-S0048969724031437-main	bioaccumulation		Weber et al							"{""source"": ""Extracted from 1-s2.0-S0048969724031437-main""}"			1-s2.0-S0048969724031437-main
Custom_biomineralization_from_1-s2.0-S030438942403005X-main	Biomineralization process from 1-s2.0-S030438942403005X-main	biomineralization		Potential of a							"{""source"": ""Extracted from 1-s2.0-S030438942403005X-main""}"			1-s2.0-S030438942403005X-main|10.1371/journal.pone.0303904|10.3390/su151814000|10.3390/toxics11121001
Custom_bioaccumulation_from_1-s2.0-S030438942403005X-main	Bioaccumulation process from 1-s2.0-S030438942403005X-main	bioaccumulation		Space of a							"{""source"": ""Extracted from 1-s2.0-S030438942403005X-main""}"			1-s2.0-S030438942403005X-main
Custom_bioaccumulation_from_toxics-11-01001	Bioaccumulation process from toxics-11-01001	bioaccumulation									"{""source"": ""Extracted from toxics-11-01001""}"			toxics-11-01001
Custom_biosorption_from_d5va00106d	Biosorption process from d5va00106d	biosorption		This check reliably							"{""source"": ""Extracted from d5va00106d""}"			10.1039/d5va00106d
Custom_bioaccumulation_from_d5va00106d	Bioaccumulation process from d5va00106d	bioaccumulation		In this study							"{""source"": ""Extracted from d5va00106d""}"			10.1039/d5va00106d|10.3390/su151814000|10.3390/toxics11121001
Custom_biosorption_from_s11756-024-01654-0	Biosorption process from s11756-024-01654-0	biosorption		Lin et al							"{""source"": ""Extracted from s11756-024-01654-0""}"			s11756-024-01654-0|10.1007/s11756-024-01654-0
Custom_bioaccumulation_from_s11756-024-01654-0	Bioaccumulation process from s11756-024-01654-0	bioaccumulation		Nutrition and							"{""source"": ""Extracted from s11756-024-01654-0""}"			s11756-024-01654-0|10.1007/s11756-024-01654-0
Custom_bioaccumulation_from_sustainability-15-14000	Bioaccumulation process from sustainability-15-14000	bioaccumulation		The negative effects							"{""source"": ""Extracted from sustainability-15-14000""}"			sustainability-15-14000|10.3390/su151814000
Custom_bioaccumulation_from_1-s2.0-S0304389425027992-main	Bioaccumulation process from 1-s2.0-S0304389425027992-main	bioaccumulation		In addition							"{""source"": ""Extracted from 1-s2.0-S0304389425027992-main""}"			1-s2.0-S0304389425027992-main
