Reaction identifier	Equation	Enzyme class	ec_number	rhea_id	linked_genes	url	Note	reaction_category	source
RHEA:15901	(2R)-2-phosphoglycerate = (2R)-3-phosphoglycerate	EC:5.4.2.11 phosphoglycerate mutase (2,3-diphosphoglycerate-dependent);EC:5.4.2.12 phosphoglycerate mutase (2,3-diphosphoglycerate-independent)	EC:5.4.2.11;EC:5.4.2.12	RHEA:15901	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/15901		fluoride_resistance	reactions_excel
RHEA:10164	(2R)-2-phosphoglycerate = phosphoenolpyruvate + H2O	EC:4.2.1.11 phosphopyruvate hydratase	EC:4.2.1.11	RHEA:10164	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/10164		fluoride_resistance	reactions_excel
RHEA:24576	diphosphate + H2O = 2 phosphate + H(+)	EC:3.6.1.1 inorganic diphosphatase	EC:3.6.1.1	RHEA:24576	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/24576		fluoride_resistance	reactions_excel
RHEA:18769	5-methylsulfanyl-2,3-dioxopentyl phosphate = 2-hydroxy-5-methylsulfanyl-3-oxopent-1-enyl phosphate	EC:5.3.2.5 2,3-diketo-5-methylthiopentyl-1-phosphate enolase	EC:5.3.2.5	RHEA:18769	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/18769		fluoride_resistance	reactions_excel
RHEA:27290	formate + A + H(+) = AH2 + CO2	EC:1.17.98.4 formate dehydrogenase (acceptor)	EC:1.17.98.4	RHEA:27290	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/27290		fluoride_resistance	reactions_excel
RHEA:13897	chorismate = prephenate	EC:5.4.99.5 chorismate mutase	EC:5.4.99.5	RHEA:13897	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/13897		fluoride_resistance	reactions_excel
RHEA:11364	pyruvate + ATP + H2O = phosphoenolpyruvate + AMP + phosphate + 2 H(+)	EC:2.7.9.2 pyruvate, water dikinase	EC:2.7.9.2	RHEA:11364	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/11364		fluoride_resistance	reactions_excel
RHEA:18157	pyruvate + ATP = phosphoenolpyruvate + ADP + H(+)	EC:2.7.1.40 pyruvate kinase	EC:2.7.1.40	RHEA:18157	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/18157		fluoride_resistance	reactions_excel
RHEA:23052	L-seryl-[pyruvate dehydrogenase E1 alpha subunit] + ATP = O-phospho-L-seryl-[pyruvate dehydrogenase E1 alpha subunit] + ADP + H(+)	EC:2.7.11.2 [pyruvate dehydrogenase (acetyl-transferring)] kinase	EC:2.7.11.2	RHEA:23052	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/23052		fluoride_resistance	reactions_excel
RHEA:18381	dihydroxyacetone + phosphoenolpyruvate = dihydroxyacetone phosphate + pyruvate	EC:2.7.1.121 phosphoenolpyruvate--glycerone phosphotransferase	EC:2.7.1.121	RHEA:18381	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/18381		fluoride_resistance	reactions_excel
RHEA:23764	L-serine + diphosphate = O-phospho-L-serine + phosphate + H(+)	EC:2.7.1.80 diphosphate--serine phosphotransferase	EC:2.7.1.80	RHEA:23764	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/23764		fluoride_resistance	reactions_excel
RHEA:16833	2 glutathione + H2O2 = glutathione disulfide + 2 H2O	EC:1.11.1.9 glutathione peroxidase	EC:1.11.1.9	RHEA:16833	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/16833	antioxidative stress	fluoride_resistance	reactions_excel
RHEA:20309	2 H2O2 = O2 + 2 H2O	EC:1.11.1.6 catalase;EC:1.11.1.21 catalase peroxidase	EC:1.11.1.6;EC:1.11.1.21	RHEA:20309	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/20309	antioxidative stress	fluoride_resistance	reactions_excel
RHEA:56136	2 a phenolic donor + H2O2 = 2 a phenolic radical donor + 2 H2O	EC:1.11.1.7 peroxidase	EC:1.11.1.7	RHEA:56136	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/56136	antioxidative stress	fluoride_resistance	reactions_excel
crcB/clcA genes					custom_crcB;custom_fex		no ec number	fluoride_resistance	reactions_excel
Na+/H+ antiporters					custom_crcB;custom_fex		no ec number	fluoride_resistance	reactions_excel
phosphate homeostasis					custom_crcB;custom_fex		no ec number	fluoride_resistance	reactions_excel
universal stress global response regulator UspA					custom_crcB;custom_fex		no ec number	fluoride_resistance	reactions_excel
RHEA:15017	a phosphate monoester + H2O = an alcohol + phosphate	EC:3.1.3.1 alkaline phosphatase;EC:3.1.3.2 acid phosphatase	EC:3.1.3.1;EC:3.1.3.2	RHEA:15017	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/15017		fluoride_resistance	reactions_excel
Recombination factor protein RarA					custom_crcB;custom_fex		no ec number	fluoride_resistance	reactions_excel
Transmembrane anti-σ factor PrtR					custom_crcB;custom_fex		no ec number	fluoride_resistance	reactions_excel
